Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.8
 -Convergence condition : difference less than  0.0001
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
(0.0012756547806271282 : Galeao Antonio Carlos Jobim, Brazil)

(0.001256878288762628 : Lambert St Louis Intl, United States)

(0.0012550383633293481 : Hongqiao Intl, China)

(0.0012549527866898588 : Juneau Intl, United States)

(0.0012452331370438978 : Sabiha Gokcen, Turkey)

(0.0012287019267920671 : Chicago Midway Intl, United States)

(0.0012180228699939012 : La Guardia, United States)

(0.0012170567632590666 : Malaga, Spain)

(0.0012089285219189958 : Kansai, Japan)

(0.0012023217741644842 : Gaoqi, China)

(0.0011985727258947742 : Baltimore Washington Intl, United States)

(0.0011759505185260258 : Netaji Subhash Chandra Bose Intl, India)

(0.0011723187717587729 : Cairns Intl, Australia)

(0.001170389749109525 : Stansted, United Kingdom)

(0.0011633963634953813 : Tocumen Intl, Panama)

(0.0011629123075292014 : Ronald Reagan Washington Natl, United States)

(0.0011526122638654112 : Port Vila Bauerfield, Vanuatu)

(0.0011417312970873879 : Houari Boumediene, Algeria)

(0.0011379946529183644 : Tansonnhat Intl, Vietnam)

(0.0011164850856887623 : Bali Ngurah Rai, Indonesia)

(0.0011139337924866207 : Tampa Intl, United States)

(0.0011079036400959185 : Eduardo Gomes Intl, Brazil)

(0.0011070806982620752 : Liuting, China)

(0.001099281255399581 : Juan Santamaria Intl, Costa Rica)

(0.0010976914486298876 : Alicante, Spain)

(0.0010920705557912963 : Mashhad, Iran)

(0.0010893924633843413 : Tianhe, China)

(0.001086200814386861 : Sioux Lookout, Canada)

(0.001084550654488317 : Nadi Intl, Fiji)

(0.0010838068422454623 : Geneve Cointrin, Switzerland)

(0.001080853949012385 : Huanghua, China)

(0.0010759229087365936 : Hasanuddin, Indonesia)

(0.0010727177809127166 : Ruzyne, Czech Republic)

(0.0010648935949003043 : Cote D\\'Azur, France)

(0.0010565448156994166 : Birmingham, United Kingdom)

(0.0010498543712093734 : Deputado Luis Eduardo Magalhaes, Brazil)

(0.0010452351152990017 : Vnukovo, Russia)

(0.0010445195714468508 : Lukou, China)

(0.0010384708472435582 : Edmonton Intl, Canada)

(0.0010365267786485069 : Ibiza, Spain)

(0.0010154376528389486 : Venezia Tessera, Italy)

(0.0010151978614156626 : Saint Exupery, France)

(0.0010089662888185047 : Adelaide Intl, Australia)

(0.0010050699276069881 : Mohammed V Intl, Morocco)

(0.0010021260863366554 : Marcos A Gelabert Intl, Panama)

(0.0010010967237389107 : San Diego Intl, United States)

(0.0009988413742220111 : Glasgow, United Kingdom)

(0.0009899836820115426 : Gran Canaria, Spain)

(0.0009869624141807124 : Provence, France)

(0.0009799204075827744 : Stuttgart, Germany)

(0.0009748043520528579 : Yellowknife, Canada)

(0.0009734789256210475 : Nome, United States)

(0.0009725721745120365 : Tribhuvan Intl, Nepal)

(0.0009677880311709101 : Edinburgh, United Kingdom)

(0.0009659214604915499 : Tancredo Neves Intl, Brazil)

(0.0009653215878147549 : Bangalore, India)

(0.0009631743534198665 : Mactan Cebu Intl, Philippines)

(0.000960404871472155 : Luanda 4 De Fevereiro, Angola)

(0.0009529586848542478 : Hamburg, Germany)

(0.0009493380695898461 : Ministro Pistarini, Argentina)

(0.0009441830381088558 : Magenta, New Caledonia)

(0.0009356499305207528 : Okecie, Poland)

(0.0009350538922121236 : Ben Gurion, Israel)

(0.0009347703340686125 : Luis Munoz Marin Intl, Puerto Rico)

(0.0009346718873591836 : Ralph Wien Mem, United States)

(0.0009340472278331334 : Lynden Pindling Intl, Bahamas)

(0.0009335897517181704 : Noibai Intl, Vietnam)

(0.0009284699986972923 : Chennai Intl, India)

(0.0009284659076081946 : Jose Marti Intl, Cuba)

(0.0009175241662317422 : Queen Alia Intl, Jordan)

(0.0009093448406595965 : Kuwait Intl, Kuwait)

(0.0009062040625219204 : Nikos Kazantzakis, Greece)

(0.0009046741530973885 : Darwin Intl, Australia)

(0.0009006960996670001 : Cleveland Hopkins Intl, United States)

(0.0008938871047967382 : Henri Coanda, Romania)

(0.0008899910574953428 : New Chitose, Japan)

(0.0008842767228918443 : Wellington Intl, New Zealand)

(0.0008826351193079675 : Seeb Intl, Oman)

(0.0008805571806820128 : Antalya, Turkey)

(0.0008767431779833799 : Koltsovo, Russia)

(0.0008737912481751043 : Xinzheng, China)

(0.0008722447431086782 : Boryspil Intl, Ukraine)

(0.0008702926813422572 : Zhoushuizi, China)

(0.0008615120679993362 : Jinnah Intl, Pakistan)

(0.0008613978054127962 : Juanda, Indonesia)

(0.0008569270642981106 : Salgado Filho, Brazil)

(0.0008563211781739908 : Koln Bonn, Germany)

(0.0008474618526326657 : Mariscal Sucre Intl, Ecuador)

(0.0008409454020070508 : Afonso Pena, Brazil)

(0.0008355112313702159 : Tolmachevo, Russia)

(0.0008342920675259266 : Rhodes Diagoras, Greece)

(0.0008294740595561133 : Taiping, China)

(0.0008276949758516238 : Shenyang Taoxian International Airport, China)

(0.000825750516976643 : Bergamo Orio Al Serio, Italy)

(0.0008104025287797748 : Murtala Muhammed, Nigeria)

(0.0008077162096293994 : Orlando Sanford Intl, United States)

(0.0008046080749253815 : Congonhas, Brazil)

(0.0008031586990083825 : Tenerife Sur, Spain)

(0.0008030804453923665 : Ketchikan Intl, United States)

(0.0008009802011686969 : Riga Intl, Latvia)

(0.000796149315465312 : Christchurch Intl, New Zealand)

(0.0007946187020581453 : Yuzhny, Uzbekistan)

(0.0007945303285491444 : Fukuoka, Japan)

(0.0007873878397253122 : Don Miguel Hidalgo Y Costilla Intl, Mexico)

(0.0007859234349040609 : Hyderabad, India)

(0.0007843899914501704 : Almaty, Kazakhstan)

(0.0007696293286203004 : Iqaluit, Canada)

(0.000756004682145932 : Bandaranaike Intl Colombo, Sri Lanka)

(0.0007526908292087904 : Marechal Rondon, Brazil)

(0.0007526428916142736 : Winnipeg Intl, Canada)

(0.0007507013282815798 : Yangon Intl, Burma)

(0.0007494971243428545 : Longdongbao, China)

(0.0007489212917117015 : Kansas City Intl, United States)

(0.0007478842510997909 : Binhai, China)

(0.0007414260070036029 : Luton, United Kingdom)

(0.0007413181200470557 : Jinan, China)

(0.0007412615064556587 : Nnamdi Azikiwe Intl, Nigeria)

(0.000731390481974526 : Porto, Portugal)

(0.0007302543178499989 : Bristol, United Kingdom)

(0.0007287868969353237 : Kotoka Intl, Ghana)

(0.0007272232062763067 : Nashville Intl, United States)

(0.0007269526890884516 : Chubu Centrair Intl, Japan)

(0.0007256510504234411 : Sochi, Russia)

(0.0007194187283681167 : Flesland, Norway)

(0.0007167537642115891 : Cape Town Intl, South Africa)

(0.0007135947302398541 : Zia Intl, Bangladesh)

(0.0007084282329981346 : Val De Cans Intl, Brazil)

(0.0006994469787253966 : Carthage, Tunisia)

(0.0006957978819292817 : King Fahd Intl, Saudi Arabia)

(0.0006957957411058594 : Rankin Inlet, Canada)

(0.0006950985427452296 : William P Hobby, United States)

(0.0006944362526771829 : Luqa, Malta)

(0.0006891133718419382 : Ivato, Madagascar)

(0.0006861163250348184 : Tanna island, Vanuatu)

(0.0006754560434565431 : Faro, Portugal)

(0.0006744648396165736 : Aniak Airport, United States)

(0.0006728675257732025 : Nottingham East Midlands, United Kingdom)

(0.0006708814347595324 : Wuxu, China)

(0.0006708770556330092 : Baita Airport, China)

(0.0006690358224615208 : Khartoum, Sudan)

(0.0006669736441035491 : Kota Kinabalu Intl, Malaysia)

(0.0006667397999217587 : Mandalay Intl, Burma)

(0.0006664993296523259 : Lanzarote, Spain)

(0.0006621457432182005 : El Alto Intl, Bolivia)

(0.0006602084995121287 : Nairobi Wilson, Kenya)

(0.0006576624073323529 : Metropolitan Oakland Intl, United States)

(0.0006561728719017574 : Shiraz Shahid Dastghaib Intl, Iran)

(0.0006493314116870693 : Wusu, China)

(0.0006489945518834061 : Jose Joaquin De Olmedo Intl, Ecuador)

(0.0006475049377063239 : Miri, Malaysia)

(0.0006473412752144535 : Ottawa Macdonald Cartier Intl, Canada)

(0.0006468516917965463 : Bahrain Intl, Bahrain)

