Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.8
 -Convergence condition : difference less than  0.0001
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
(0.0003637834667023449 : Norman Wells, Canada)

(0.000363623803680332 : Jacksonville Intl, United States)

(0.00036359620095278625 : Toncontin Intl, Honduras)

(0.00036305222053554533 : Es Senia, Algeria)

(0.00036185338188487814 : Landvetter, Sweden)

(0.00036178850974116495 : Campo Grande, Brazil)

(0.00036060032039240443 : St Johns Intl, Canada)

(0.00035993739937135354 : Tte Av Jorge Henrich Arauz, Bolivia)

(0.0003590493844016703 : Hammerfest Airport, Norway)

(0.00035808284913171434 : Lech Walesa, Poland)

(0.00035491902325827224 : Will Rogers World, United States)

(0.0003542164537442158 : Piarco, Trinidad and Tobago)

(0.00035350451616294836 : Louisville International Airport, United States)

(0.0003527484257846139 : Belfast Intl, United Kingdom)
