Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.2
 -Convergence condition : difference less than  1e-15
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
-------------------------------------------------------------------
(0.0013490245413626564 : Denver Intl, United States)

(0.001201885736166606 : Domododevo, Russia)

(0.0011392994890731432 : Chicago Ohare Intl, United States)

(0.0010689585974547598 : Dallas Fort Worth Intl, United States)

(0.001030518376830417 : Sydney Intl, Australia)

(0.0010247356083748914 : Hartsfield Jackson Atlanta Intl, United States)

(0.0010242446684511253 : Eldorado Intl, Colombia)

(0.0009653261963906825 : Aeroparque Jorge Newbery, Argentina)

(0.0009128734604700911 : Los Angeles Intl, United States)

(0.0008992478170842524 : Licenciado Benito Juarez Intl, Mexico)

(0.0008890994790324336 : Tokyo Intl, Japan)

(0.0008814013843437431 : Ninoy Aquino Intl, Philippines)

(0.0008001035109266907 : Johannesburg Intl, South Africa)

(0.0007990813943492196 : Capital Intl, China)

(0.0007875341179628512 : Ataturk, Turkey)

(0.0007821032001482876 : Minneapolis St Paul Intl, United States)

(0.0007301224991808405 : Charlotte Douglas Intl, United States)

(0.0007009004683772448 : Indira Gandhi Intl, India)

(0.0006977912994288066 : Vancouver Intl, Canada)

(0.0006821338519503835 : George Bush Intercontinental, United States)

(0.000681768814551635 : Brisbane Intl, Australia)

(0.0006793903629599898 : Mehrabad Intl, Iran)

(0.0006577472958223463 : Helsinki Vantaa, Finland)

(0.0006555311163784838 : Pulkovo, Russia)

(0.0006464367730321389 : Don Muang Intl, Thailand)

(0.0006399351752748683 : Chhatrapati Shivaji Intl, India)

(0.0006289959389561561 : Lester B Pearson Intl, Canada)

(0.0006246080252832824 : Jorge Chavez Intl, Peru)

(0.0006180469975312027 : Auckland Intl, New Zealand)

(0.0005897566531576936 : Wujiaba, China)

(0.0005870042598630478 : Orly, France)

(0.0005853286172576679 : Changi Intl, Singapore)

(0.0005827622005300038 : Pudong, China)

(0.0005814774725369349 : Arlanda, Sweden)

(0.0005811963098774108 : Gardermoen, Norway)

(0.0005776250058142222 : Schiphol, Netherlands)

(0.00057713833233253 : Detroit Metro Wayne Co, United States)

(0.0005752802528016506 : Ted Stevens Anchorage Intl, United States)

(0.0005682669157454209 : Bethel, United States)

(0.0005597249849337715 : Barcelona, Spain)

(0.0005587972347097025 : Dubai Intl, United Arab Emirates)

(0.000557628517931304 : Soekarno Hatta Intl, Indonesia)

(0.0005525591589737984 : Faa\\'a International, French Polynesia)

(0.0005484502365122885 : King Abdulaziz Intl, Saudi Arabia)

(0.0005421724537555078 : Viracopos, Brazil)

(0.000535902360970894 : Salt Lake City Intl, United States)

(0.000535157924668704 : Shuangliu, China)

(0.0005341581281680205 : Suvarnabhumi Intl, Thailand)

(0.0005324312136216488 : Eleftherios Venizelos Intl, Greece)

(0.0005257896486769965 : King Khaled Intl, Saudi Arabia)

(0.0005243346554159399 : Seattle Tacoma Intl, United States)

(0.0005201879580809812 : Incheon Intl, South Korea)

(0.0005186162947728089 : San Francisco Intl, United States)

(0.0005175503949808834 : General Edward Lawrence Logan Intl, United States)

(0.0005164191824514111 : Son Sant Joan, Spain)

(0.0005162075469378167 : Charles De Gaulle, France)

(0.0005156042797201507 : Honiara International, Solomon Islands)

(0.0005127839792326271 : Houari Boumediene, Algeria)

(0.0005108947510692526 : Frankfurt Main, Germany)

(0.0005102045873385925 : Washington Dulles Intl, United States)

(0.0005064951158845863 : Diwopu, China)

(0.0005062050739116959 : Baiyun Intl, China)

(0.0005029491761599123 : Sabiha Gokcen, Turkey)

(0.000500465360370467 : Miami Intl, United States)

(0.000499073130523516 : John F Kennedy Intl, United States)

(0.0004961741876932972 : Gatwick, United Kingdom)

(0.000494757685012342 : Port Moresby Jacksons Intl, Papua New Guinea)

(0.0004929894560230042 : Simon Bolivar Intl, Venezuela)

(0.0004902212188246469 : Mc Carran Intl, United States)

(0.0004900179315858331 : Fairbanks Intl, United States)

(0.0004844504181576223 : Philadelphia Intl, United States)

(0.000484383751047511 : Perth Intl, Australia)

(0.0004834761251900544 : Kuala Lumpur Intl, Malaysia)

(0.0004829848852770027 : Melbourne Intl, Australia)

(0.00048132750078215585 : Bole Intl, Ethiopia)

(0.0004773285089688204 : Schwechat, Austria)

(0.00047405472558879723 : Tribhuvan Intl, Nepal)

