Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.5
 -Convergence condition : difference less than  1e-15
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
-------------------------------------------------------------------
(0.003132285971773727 : Denver Intl, United States)

(0.0027549778819447725 : Chicago Ohare Intl, United States)

(0.002529916398148711 : Domododevo, Russia)

(0.0024597425810323737 : Los Angeles Intl, United States)

(0.0023811245023571746 : Sydney Intl, Australia)

(0.002328211975277103 : Hartsfield Jackson Atlanta Intl, United States)

(0.002317460302617278 : Dallas Fort Worth Intl, United States)

(0.00218795096907638 : Eldorado Intl, Colombia)

(0.0019687684923081696 : Aeroparque Jorge Newbery, Argentina)

(0.0019338510705340403 : Capital Intl, China)

(0.001897670802201045 : Licenciado Benito Juarez Intl, Mexico)

(0.0018188823092958753 : Ninoy Aquino Intl, Philippines)

(0.0017704719152476299 : Ataturk, Turkey)

(0.001718943223409829 : Tokyo Intl, Japan)

(0.0017074242508577711 : Changi Intl, Singapore)

(0.0016840815132188568 : Johannesburg Intl, South Africa)

(0.0016796746589251067 : Minneapolis St Paul Intl, United States)

(0.0016048394237425318 : Brisbane Intl, Australia)

(0.001585790962566393 : Lester B Pearson Intl, Canada)

(0.0015576634579425042 : Charlotte Douglas Intl, United States)

(0.0015558168869720225 : Indira Gandhi Intl, India)

(0.001546452358805737 : Charles De Gaulle, France)

(0.0015264867176630424 : Schiphol, Netherlands)

(0.0015156605935307292 : Frankfurt Main, Germany)

(0.0015052464398970346 : George Bush Intercontinental, United States)

(0.001492886081012011 : Dubai Intl, United Arab Emirates)

(0.0014899787350540574 : Heathrow, United Kingdom)

(0.0014763221721432783 : Vancouver Intl, Canada)

(0.0014688480231591435 : Pulkovo, Russia)

(0.001424104345433865 : John F Kennedy Intl, United States)

(0.001411812453978791 : Pudong, China)

(0.001411646547773383 : Incheon Intl, South Korea)

(0.0013609253470266256 : Barcelona, Spain)

(0.0013572384532520411 : Chhatrapati Shivaji Intl, India)

(0.0013519737825964657 : Suvarnabhumi Intl, Thailand)

(0.0013413332475714045 : Auckland Intl, New Zealand)

(0.0013049953384769593 : Jorge Chavez Intl, Peru)

(0.0012989496842889725 : Ted Stevens Anchorage Intl, United States)

(0.0012970845409106119 : Mehrabad Intl, Iran)

(0.001286183492019412 : Miami Intl, United States)

(0.001282174101091606 : Seattle Tacoma Intl, United States)

(0.0012746888429564429 : Helsinki Vantaa, Finland)

(0.0012470528398499398 : San Francisco Intl, United States)

(0.0012433206575441919 : Kuala Lumpur Intl, Malaysia)

(0.0012427281695594154 : Soekarno Hatta Intl, Indonesia)

(0.001219748806037823 : Detroit Metro Wayne Co, United States)

(0.0012097363607996435 : Wujiaba, China)

(0.0012089240004007585 : Bethel, United States)

(0.0012001280167219654 : Gardermoen, Norway)

(0.0011915098512221187 : Arlanda, Sweden)

(0.0011892748856247508 : Orly, France)

(0.0011777625161908003 : Gatwick, United Kingdom)

(0.0011697345417464068 : Don Muang Intl, Thailand)

(0.0011552232203268101 : Fiumicino, Italy)

(0.0011459655984972887 : Hong Kong Intl, Hong Kong)

(0.0011457660949807107 : Baiyun Intl, China)

(0.0011372344767731375 : Melbourne Intl, Australia)

(0.0011363836258231515 : Mc Carran Intl, United States)

(0.0011337018531438984 : Faa\\'a International, French Polynesia)

(0.001125378182414546 : Barajas, Spain)

(0.0011210457730290737 : Washington Dulles Intl, United States)

(0.0011181285125461786 : Shuangliu, China)

(0.001114887106051136 : Schwechat, Austria)

(0.001113360664838403 : King Abdulaziz Intl, Saudi Arabia)

(0.0011083885131285471 : Son Sant Joan, Spain)

(0.001095242885352738 : General Edward Lawrence Logan Intl, United States)

(0.0010842444363859541 : Guarulhos Gov Andre Franco Montouro, Brazil)

(0.0010627211193001743 : Franz Josef Strauss, Germany)

(0.0010518760736014168 : Philadelphia Intl, United States)

(0.0010498131128411472 : Pierre Elliott Trudeau Intl, Canada)

(0.001038477324514355 : Eleftherios Venizelos Intl, Greece)

(0.0010375227772924864 : Sheremetyevo, Russia)

(0.0010282794887052022 : Honiara International, Solomon Islands)

(0.001027241587265526 : Salt Lake City Intl, United States)

(0.0010236663636576917 : King Khaled Intl, Saudi Arabia)

(0.0010136142565923645 : Port Moresby Jacksons Intl, Papua New Guinea)

(0.0010118384900934868 : Viracopos, Brazil)

(0.0010097927342730471 : Bole Intl, Ethiopia)

(0.0010046162016979388 : Phoenix Sky Harbor Intl, United States)

(0.000998956451318234 : Fort Lauderdale Hollywood Intl, United States)

(0.0009918394246636807 : Fairbanks Intl, United States)

(0.000990253655552215 : Jomo Kenyatta International, Kenya)

(0.0009874987055059077 : Kastrup, Denmark)

(0.0009813787349850188 : Narita Intl, Japan)

(0.0009770276056778318 : Perth Intl, Australia)

(0.0009700956539137992 : Diwopu, China)

(0.000969683440893915 : Brussels Natl, Belgium)

(0.0009616989996102567 : Manchester, United Kingdom)

(0.0009534355364366753 : Presidente Juscelino Kubitschek, Brazil)

(0.0009428385781103401 : Simon Bolivar Intl, Venezuela)

(0.0009406009793149439 : Orlando Intl, United States)

(0.0009280052367742996 : Houari Boumediene, Algeria)

(0.0009224108272708233 : Xianyang, China)

(0.0009204522328259074 : Newark Liberty Intl, United States)

(0.0009146461039519599 : Sabiha Gokcen, Turkey)

(0.0008949231502575646 : Dusseldorf, Germany)

(0.0008621899386799906 : Calgary Intl, Canada)

(0.0008613352214545332 : Abu Dhabi Intl, United Arab Emirates)

(0.000859299055083004 : Cairo Intl, Egypt)

(0.0008568818513839072 : Juneau Intl, United States)

(0.0008522311166802832 : Lambert St Louis Intl, United States)

(0.0008507209717608107 : Taoyuan Intl, Taiwan)

(0.0008431638548924055 : Honolulu Intl, United States)

(0.0008364704275593539 : Zurich, Switzerland)

(0.000826511551087798 : Tribhuvan Intl, Nepal)

(0.0008173706448267054 : Vnukovo, Russia)

(0.0008020886360907139 : Arturo Merino Benitez Intl, Chile)

(0.0007860710478595918 : Cairns Intl, Australia)

(0.000784746503303355 : Lisboa, Portugal)

(0.0007828464542422577 : Tansonnhat Intl, Vietnam)

(0.000780059145366558 : Eduardo Gomes Intl, Brazil)

(0.0007753745316987294 : Netaji Subhash Chandra Bose Intl, India)

(0.000774820242080895 : Adelaide Intl, Australia)

(0.000770469894326524 : Mashhad, Iran)

(0.0007650122305184802 : Port Vila Bauerfield, Vanuatu)

(0.0007648139485904597 : Lynden Pindling Intl, Bahamas)

(0.0007625178097545007 : Hasanuddin, Indonesia)

(0.0007609510109902795 : Jiangbei, China)

(0.0007541320415063914 : Luanda 4 De Fevereiro, Angola)

(0.0007507710605577706 : Jose Marti Intl, Cuba)

(0.000734941534054814 : Stansted, United Kingdom)

(0.0007258715166172477 : Marcos A Gelabert Intl, Panama)

(0.0007135286709411083 : Baoan Intl, China)

(0.0007075900901637221 : Orlando Sanford Intl, United States)

(0.0007060085102559329 : Portland Intl, United States)

(0.000701402621220823 : Hongqiao Intl, China)

(0.000697610097182356 : Cancun Intl, Mexico)

(0.0006971878470414789 : Dublin, Ireland)

(0.0006951557350869374 : Sioux Lookout, Canada)

(0.0006949705432196411 : Juan Santamaria Intl, Costa Rica)

(0.0006928258225026746 : Malpensa, Italy)

(0.0006898655115408856 : Glasgow, United Kingdom)

(0.0006890283289447157 : Yellowknife, Canada)

(0.0006881127463611126 : Nadi Intl, Fiji)

(0.0006869571531638285 : Jinnah Intl, Pakistan)

(0.0006846139359202764 : Nnamdi Azikiwe Intl, Nigeria)

(0.0006813922154655978 : Mactan Cebu Intl, Philippines)

(0.0006692515968681643 : Mariscal Sucre Intl, Ecuador)

(0.0006663850440045899 : Wellington Intl, New Zealand)

(0.0006655914338790104 : Deputado Luis Eduardo Magalhaes, Brazil)

(0.0006615545025614297 : Chicago Midway Intl, United States)

(0.000648108232969413 : Noibai Intl, Vietnam)

(0.000647834956276133 : Bali Ngurah Rai, Indonesia)

(0.0006459022690070612 : Xiaoshan, China)

(0.0006437699529505727 : Edmonton Intl, Canada)

(0.0006421259684841207 : Ronald Reagan Washington Natl, United States)

(0.0006378631305651931 : Doha Intl, Qatar)

(0.0006367336064620793 : Mohammed V Intl, Morocco)

(0.0006358689573038733 : Magenta, New Caledonia)

(0.0006350903885207489 : Cote D\\'Azur, France)

(0.0006332403739265739 : New Chitose, Japan)

(0.000630786088302257 : Ralph Wien Mem, United States)

(0.0006274947354279329 : Alicante, Spain)

(0.0006213696403175757 : Bangalore, India)

(0.0006200827276901767 : La Guardia, United States)

(0.0006199068551012433 : Nome, United States)

(0.0006125795437057646 : Luis Munoz Marin Intl, Puerto Rico)

(0.0006117050968939108 : Galeao Antonio Carlos Jobim, Brazil)

(0.0006114770341518254 : Tegel, Germany)

(0.0006075926158858128 : Henri Coanda, Romania)

(0.0006043514672042413 : Tocumen Intl, Panama)

(0.0006037913003135741 : Murtala Muhammed, Nigeria)

(0.0006030913241079222 : Gaoqi, China)

(0.0006024976980294648 : Malaga, Spain)

(0.0005997123015332867 : Saint Exupery, France)

(0.0005959638705903903 : Ketchikan Intl, United States)

(0.0005924175531404439 : Provence, France)

(0.0005902588379707029 : Birmingham, United Kingdom)

(0.0005867848802054387 : Almaty, Kazakhstan)

(0.0005809823999604461 : Kansai, Japan)

(0.000579668656492747 : Cleveland Hopkins Intl, United States)

(0.0005783658936807081 : Gran Canaria, Spain)

(0.0005743150963666043 : Bergamo Orio Al Serio, Italy)

(0.0005741470314578574 : Baltimore Washington Intl, United States)

(0.0005719675386861518 : Liuting, China)

(0.0005683522028567418 : Tianhe, China)

(0.000568336793280239 : Tancredo Neves Intl, Brazil)

(0.0005627517145279619 : Kotoka Intl, Ghana)

(0.0005624888745205814 : Tampa Intl, United States)

(0.0005624551344867319 : Darwin Intl, Australia)

(0.0005597320375399522 : Koltsovo, Russia)

(0.0005532256353316937 : Chinggis Khaan Intl, Mongolia)

(0.0005508483783053183 : Edinburgh, United Kingdom)

(0.0005485597698281611 : Subang-Sultan Abdul Aziz Shah Intl, Malaysia)

(0.0005426101805779345 : Ivato, Madagascar)

(0.0005411395236995365 : Afonso Pena, Brazil)

(0.0005408023430716817 : King Salmon, United States)

(0.0005399758893128808 : Mandalay Intl, Burma)

(0.0005394668412919175 : Sochi, Russia)

(0.0005384475012204669 : Huanghua, China)

(0.0005355902620988276 : Cape Town Intl, South Africa)

(0.0005352108663543019 : Christchurch Intl, New Zealand)

(0.0005348293739316077 : Yuzhny, Uzbekistan)

(0.0005327824854615758 : Nausori Intl, Fiji)

(0.0005315915131820314 : Iqaluit, Canada)

(0.0005285979612826573 : Jeju Intl, South Korea)

(0.0005283396725673674 : Tripoli Intl, Libya)

(0.0005249906128348592 : Miri, Malaysia)

(0.0005233212865921312 : Salgado Filho, Brazil)

(0.0005216472311138093 : Marechal Rondon, Brazil)

(0.0005196009491371836 : Boryspil Intl, Ukraine)

(0.0005194400958121555 : Yangon Intl, Burma)

(0.0005161390326625773 : Ibiza, Spain)

(0.0005155351348470918 : Esenboga, Turkey)

(0.0005108180891743714 : Nairobi Wilson, Kenya)

(0.0005103388469394677 : Taiping, China)

(0.0005087955090666525 : Hyderabad, India)

(0.0005085902655172184 : Tolmachevo, Russia)

(0.0005077538798338216 : Lukou, China)

(0.000507123242572871 : Tanna island, Vanuatu)

(0.0005057565149708933 : Seeb Intl, Oman)

(0.0005056055786850043 : Ruzyne, Czech Republic)

(0.0005052538256672394 : Congonhas, Brazil)

(0.0005044806970285562 : Venezia Tessera, Italy)

(0.0004996313643405233 : Geneve Cointrin, Switzerland)

(0.0004978637976409061 : Chennai Intl, India)

(0.000497483357919685 : Flesland, Norway)

(0.000496332863675505 : Zia Intl, Bangladesh)

(0.0004959910225006441 : Queen Alia Intl, Jordan)

(0.0004946503609199951 : Juanda, Indonesia)

(0.0004946080924242729 : Osaka Intl, Japan)

(0.0004937316158849761 : Girona, Spain)

(0.0004923114330642952 : Khartoum, Sudan)

(0.0004921653475746764 : Stuttgart, Germany)

(0.0004879108021199607 : Ministro Pistarini, Argentina)

(0.0004877312379564179 : San Diego Intl, United States)

(0.0004871663727922365 : Rarotonga Intl, Cook Islands)

(0.00048566184182373726 : Winnipeg Intl, Canada)

(0.00048508789325926976 : Astana Intl, Kazakhstan)

(0.00048326396030244504 : Fukuoka, Japan)

(0.00047840854982339573 : Zhoushuizi, China)

(0.00047743933384925837 : Kuwait Intl, Kuwait)

(0.0004768970929576396 : Val De Cans Intl, Brazil)

(0.00047688939931096806 : Nikos Kazantzakis, Greece)

(0.0004762321845806866 : City, United Kingdom)

(0.0004750365540437181 : El Alto Intl, Bolivia)

(0.00047499970583812887 : Rhodes Diagoras, Greece)

(0.00047322147492982427 : Antalya, Turkey)

(0.00047183885975995955 : Kota Kinabalu Intl, Malaysia)

(0.0004712837909013018 : Koln Bonn, Germany)

(0.0004706100010680645 : Don Miguel Hidalgo Y Costilla Intl, Mexico)

(0.00046925096004396267 : Riga Intl, Latvia)

(0.000466312892578611 : Ben Gurion, Israel)

(0.00046255324895756234 : Okecie, Poland)

(0.0004623981286524483 : Jose Joaquin De Olmedo Intl, Ecuador)

(0.0004620250592742611 : Aniak Airport, United States)

(0.00045751257283515787 : Shenyang Taoxian International Airport, China)

(0.0004558233786919906 : Reykjavik, Iceland)

