Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.8
 -Convergence condition : difference less than  1e-08
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
(0.0003643520969276222 : Durban Intl, South Africa)

(0.0003640274853134396 : St Denis Gillot, Reunion)

(0.00036400598002617093 : Pattimura, Indonesia)

(0.0003628252778414563 : Wiley Post Will Rogers Mem, United States)

(0.0003605376762455466 : Goiabeiras, Brazil)

(0.000360517075238277 : Es Senia, Algeria)

(0.00035984085948274414 : Will Rogers World, United States)

(0.00035887586583759594 : Souda, Greece)

(0.0003588357119522541 : Louisville International Airport, United States)

(0.0003579828706311721 : Toncontin Intl, Honduras)

(0.00035775401888308575 : Cambridge Bay, Canada)

(0.00035733500419349236 : Nadzab, Papua New Guinea)

(0.00035703506719293943 : Nurnberg, Germany)

(0.0003559558938357797 : Campo Grande, Brazil)

(0.00035564844820752537 : El Plumerillo, Argentina)

(0.000355287526809856 : St Johns Intl, Canada)

(0.0003543969595336622 : Norman Wells, Canada)

(0.0003537619380643833 : Kazan, Russia)

(0.00035370255921066357 : Piarco, Trinidad and Tobago)

(0.0003519474435138599 : Khrabrovo, Russia)

(0.0003515153235352305 : Ponta Delgada, Portugal)

(0.00035126119807839766 : Sharm El Sheikh Intl, Egypt)

(0.0003511625380373476 : Marudi, Malaysia)

(0.00035085667693179667 : Sungshan, Taiwan)

(0.0003504572668789979 : Kurumoch, Russia)

