Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.8
 -Convergence condition : difference less than  1e-08
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
(0.0006705252132564103 : Newcastle, United Kingdom)

(0.0006698221982314735 : Changle, China)

(0.0006658226527470739 : Khartoum, Sudan)

(0.0006653378305376828 : Metropolitan Oakland Intl, United States)

(0.000664769762804167 : Ferihegy, Hungary)

(0.0006645428461149093 : Ivato, Madagascar)

(0.0006629245797676924 : Larnaca, Cyprus)

(0.0006624549902217959 : Ioannis Kapodistrias Intl, Greece)

(0.0006581958470520712 : Kota Kinabalu Intl, Malaysia)

(0.0006576373165048926 : Keflavik International Airport, Iceland)

(0.0006562204347994546 : Aniak Airport, United States)

(0.0006501084056708495 : Bahrain Intl, Bahrain)

(0.0006448385723690225 : Ottawa Macdonald Cartier Intl, Canada)

(0.000644451702874253 : General Mariano Escobedo Intl, Mexico)

(0.0006437619807720436 : Makedonia, Greece)

(0.0006415575256702565 : Shiraz Shahid Dastghaib Intl, Iran)

(0.0006413915423739778 : Mandalay Intl, Burma)

(0.0006400526990604123 : Girona, Spain)

(0.0006398429909163842 : El Alto Intl, Bolivia)

(0.0006385409657970537 : Gimhae Intl, South Korea)

(0.0006383735238595846 : Austin Bergstrom Intl, United States)

(0.0006380709611229632 : Catania Fontanarossa, Italy)

(0.0006376975113093719 : Polonia, Indonesia)

(0.0006375098840943311 : Jeju Intl, South Korea)

(0.000637401106653609 : Esenboga, Turkey)

(0.0006358501424783352 : Tanna island, Vanuatu)

(0.0006334061341547503 : Jose Joaquin De Olmedo Intl, Ecuador)

(0.00063235466507203 : Nairobi Wilson, Kenya)

(0.0006280369075611332 : Astana Intl, Kazakhstan)

(0.0006279765402738938 : EuroAirport Basel-Mulhouse-Freiburg, Switzerland)

(0.0006259070122022658 : Tripoli Intl, Libya)

(0.0006232339833143607 : Subang-Sultan Abdul Aziz Shah Intl, Malaysia)

(0.0006219245802768406 : Sepinggan, Indonesia)

(0.0006209265154396802 : Miri, Malaysia)

(0.0006195429479147907 : Kahului, United States)

(0.0006192406241655542 : Memphis Intl, United States)

(0.0006167821724102531 : Brussels South, Belgium)

(0.0006134586280838155 : Sept Iles, Canada)

(0.0006116815147445281 : El Salvador Intl, El Salvador)

(0.0006109826806046191 : Blagnac, France)

(0.0006079146994400147 : City, United Kingdom)

(0.0006070477112528144 : King Salmon, United States)

(0.0006047295990026365 : Chinggis Khaan Intl, Mongolia)

(0.0006032435818226983 : Guararapes Gilberto Freyre Intl, Brazil)

(0.000600868366988231 : Naha, Japan)

(0.000599239114102542 : Pisa, Italy)

(0.0005978170817343147 : Raleigh Durham Intl, United States)

(0.0005964465264627509 : Osaka Intl, Japan)

(0.0005944315927983798 : Leopold Sedar Senghor Intl, Senegal)

(0.0005926249426638069 : San Antonio Intl, United States)

(0.0005904830611102097 : Rafic Hariri Intl, Lebanon)

(0.0005894890674301238 : Wabush, Canada)

(0.0005886114999271452 : Santos Dumont, Brazil)

(0.0005862983973626702 : Chaklala, Pakistan)

(0.0005837958232144251 : Phuket Intl, Thailand)

(0.0005831263219242981 : Reykjavik, Iceland)

(0.0005803891191259605 : Menorca, Spain)

(0.0005777452701263092 : Quebec Jean Lesage Intl, Canada)

(0.0005719043924549146 : Nausori Intl, Fiji)

(0.0005707359759175152 : Princess Juliana Intl, Netherlands Antilles)

(0.0005698034222465035 : Meilan, China)

(0.0005671258751525269 : Lusaka Intl, Zambia)

(0.0005665555748039556 : Split, Croatia)

(0.0005661889879257875 : Louis Armstrong New Orleans Intl, United States)

(0.0005610728460384688 : Valencia, Spain)

(0.0005605083728697347 : Phoenix International, China)

(0.0005573680318988523 : Rarotonga Intl, Cook Islands)

(0.0005572072988922443 : Liangjiang, China)

(0.0005569724831515439 : Norman Y Mineta San Jose Intl, United States)

(0.0005567977476481794 : Changbei Intl, China)

