Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.8
 -Convergence condition : difference less than  0.01
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
-------------------------------------------------------------------
(0.004945314330635437 : Denver Intl, United States)

(0.004516236546536469 : Domododevo, Russia)

(0.004008698409715511 : Chicago Ohare Intl, United States)

(0.0039054834417306923 : Dallas Fort Worth Intl, United States)

(0.003690827149964677 : Eldorado Intl, Colombia)

(0.0036279377612428013 : Hartsfield Jackson Atlanta Intl, United States)

(0.003568064907969088 : Sydney Intl, Australia)

(0.0035556751689297863 : Aeroparque Jorge Newbery, Argentina)

(0.003283088268160432 : Tokyo Intl, Japan)

(0.0031846289770553907 : Licenciado Benito Juarez Intl, Mexico)

(0.003170760381617727 : Ninoy Aquino Intl, Philippines)

(0.0028054107385720086 : Los Angeles Intl, United States)

(0.0027326137785842583 : Johannesburg Intl, South Africa)

(0.002640334673242292 : Minneapolis St Paul Intl, United States)

(0.0026075102150670184 : Ataturk, Turkey)

(0.0025511322741861055 : Capital Intl, China)

(0.002455734992280783 : Charlotte Douglas Intl, United States)

(0.0023646082138207756 : Mehrabad Intl, Iran)

(0.002285409408578183 : Vancouver Intl, Canada)

(0.0022486325124367367 : Don Muang Intl, Thailand)

(0.002243992869715203 : Indira Gandhi Intl, India)

(0.002214553536788439 : Helsinki Vantaa, Finland)

(0.0021991518436729083 : George Bush Intercontinental, United States)

(0.0020668877648017873 : Brisbane Intl, Australia)

(0.0020503985239241317 : Chhatrapati Shivaji Intl, India)

(0.002031492333212138 : Pulkovo, Russia)

(0.001984532666942203 : Jorge Chavez Intl, Peru)

(0.0019084141132022956 : Auckland Intl, New Zealand)

(0.0018736847817690434 : Wujiaba, China)

(0.0018559878931971117 : Orly, France)

(0.0018142791578076227 : Arlanda, Sweden)

(0.0018112099013876377 : Gardermoen, Norway)

(0.0017909842553643206 : Detroit Metro Wayne Co, United States)

(0.0017834055216236454 : Lester B Pearson Intl, Canada)

(0.0017246575705431044 : Viracopos, Brazil)

(0.001703137009162334 : Bethel, United States)

(0.0016833093507354487 : Salt Lake City Intl, United States)

(0.0016813290189713697 : King Abdulaziz Intl, Saudi Arabia)

(0.0016709857080005486 : Pudong, China)

(0.0016668131051408633 : Ted Stevens Anchorage Intl, United States)

(0.0016563453520694004 : Faa\\'a International, French Polynesia)

(0.0016457685751614323 : Eleftherios Venizelos Intl, Greece)

(0.0016300163531874998 : Soekarno Hatta Intl, Indonesia)

(0.0016231917483964812 : King Khaled Intl, Saudi Arabia)

(0.001620325965427437 : Shuangliu, China)

(0.0016098442717357084 : Houari Boumediene, Algeria)

(0.0015845628151148032 : Sabiha Gokcen, Turkey)

(0.001560549120471642 : Barcelona, Spain)

(0.0015421127717108359 : Honiara International, Solomon Islands)

(0.0015392380178977378 : Diwopu, China)

(0.0015209205242409749 : General Edward Lawrence Logan Intl, United States)

(0.0015205779283648322 : Schiphol, Netherlands)

(0.001507215506529834 : Son Sant Joan, Spain)

(0.0014773871532602523 : Simon Bolivar Intl, Venezuela)

(0.0014698016915237844 : Tribhuvan Intl, Nepal)

(0.0014493413667366229 : Washington Dulles Intl, United States)

(0.0014220792369898877 : Port Moresby Jacksons Intl, Papua New Guinea)

(0.001417224064487582 : Dubai Intl, United Arab Emirates)

(0.001408017812599449 : Baiyun Intl, China)

(0.0014059542434284916 : San Francisco Intl, United States)

(0.0014027759977181305 : Perth Intl, Australia)

(0.001388983871851224 : Changi Intl, Singapore)

(0.0013881972316293117 : Fairbanks Intl, United States)

(0.0013842421587824847 : Seattle Tacoma Intl, United States)

(0.0013782715081995776 : Suvarnabhumi Intl, Thailand)

(0.001362422937631387 : Philadelphia Intl, United States)

(0.001354492255089334 : Vnukovo, Russia)

(0.001333792652232188 : Mc Carran Intl, United States)

(0.0013317893508287238 : Lambert St Louis Intl, United States)

(0.0013293420517110886 : Gatwick, United Kingdom)

(0.0013277459701289784 : Bole Intl, Ethiopia)

(0.0013248641083094847 : Orlando Sanford Intl, United States)

(0.0013038929920021708 : Lynden Pindling Intl, Bahamas)

(0.001295336487235923 : Adelaide Intl, Australia)

(0.0012661282691211195 : Pierre Elliott Trudeau Intl, Canada)

(0.001265322206489894 : Schwechat, Austria)

(0.001265314001081888 : Nnamdi Azikiwe Intl, Nigeria)

(0.0012652008986961268 : Jose Marti Intl, Cuba)

(0.0012626089174498933 : Juneau Intl, United States)

(0.0012588856094814323 : Incheon Intl, South Korea)

(0.0012575354260489047 : Fort Lauderdale Hollywood Intl, United States)

(0.0012569665527344847 : Calgary Intl, Canada)

(0.001250054426774802 : Melbourne Intl, Australia)

(0.0012427706031420788 : Miami Intl, United States)

(0.0012266738218454317 : Sheremetyevo, Russia)

(0.0012260650815080192 : Xianyang, China)

(0.0012097241711462598 : Jomo Kenyatta International, Kenya)

(0.0012073651366301 : Mashhad, Iran)

(0.0012051337973413442 : Luanda 4 De Fevereiro, Angola)

(0.0012050331524664168 : Phoenix Sky Harbor Intl, United States)

(0.00118017574972737 : Tansonnhat Intl, Vietnam)

(0.001179947577781153 : Kastrup, Denmark)

(0.0011586866856843658 : Kuala Lumpur Intl, Malaysia)

(0.0011506816396598342 : Hasanuddin, Indonesia)

(0.0011405647396235774 : Fiumicino, Italy)

(0.0011383418235512564 : John F Kennedy Intl, United States)

(0.0011103275926873397 : Charles De Gaulle, France)

(0.0011091465748276391 : Jinnah Intl, Pakistan)

(0.001107298460406325 : Presidente Juscelino Kubitschek, Brazil)

(0.0010968913328917864 : Frankfurt Main, Germany)

(0.0010893910975191415 : Stansted, United Kingdom)

(0.001086949453188606 : Netaji Subhash Chandra Bose Intl, India)

