Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.9
 -Convergence condition : difference less than  1e-15
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
-------------------------------------------------------------------
(0.006200140314254217 : Los Angeles Intl, United States)

(0.006184231908578803 : Chicago Ohare Intl, United States)

(0.0059579852761787455 : Denver Intl, United States)

(0.0050554372368895985 : Heathrow, United Kingdom)

(0.004882661933143652 : Charles De Gaulle, France)

(0.004821993257625546 : Capital Intl, China)

(0.004763629028747113 : Frankfurt Main, Germany)

(0.004676039395159653 : Changi Intl, Singapore)

(0.0046660971054191 : Hartsfield Jackson Atlanta Intl, United States)

(0.004406453724901767 : John F Kennedy Intl, United States)

(0.004370618558247492 : Schiphol, Netherlands)

(0.004120925129286534 : Dallas Fort Worth Intl, United States)

(0.004028232569517757 : Sydney Intl, Australia)

(0.003964216212267228 : Incheon Intl, South Korea)

(0.003918459719729841 : Lester B Pearson Intl, Canada)

(0.003895960134423282 : Dubai Intl, United Arab Emirates)

(0.003847177403198236 : Domododevo, Russia)

(0.003804874782330846 : Barcelona, Spain)

(0.003803440719365401 : Pudong, China)

(0.0036002745247671257 : Hong Kong Intl, Hong Kong)

(0.003590610540121948 : Ataturk, Turkey)

(0.0033903964270152183 : Fiumicino, Italy)

(0.003316654816670789 : Gatwick, United Kingdom)

(0.0033154316518605722 : Franz Josef Strauss, Germany)

(0.003285567163776242 : Suvarnabhumi Intl, Thailand)

(0.003235301857358151 : Miami Intl, United States)

(0.003181110564139534 : Barajas, Spain)

(0.003177937383906561 : San Francisco Intl, United States)

(0.0031081613942210776 : Schwechat, Austria)

(0.0030800889024237585 : Narita Intl, Japan)

(0.0030438400094980086 : Kuala Lumpur Intl, Malaysia)

(0.0030403159122204962 : George Bush Intercontinental, United States)

(0.0030328946463184536 : Licenciado Benito Juarez Intl, Mexico)

(0.0029987225948128185 : Seattle Tacoma Intl, United States)

(0.002974766863147524 : Charlotte Douglas Intl, United States)

(0.002959601381020283 : Indira Gandhi Intl, India)

(0.00292330406825707 : Baiyun Intl, China)

(0.0029221982645758968 : Brisbane Intl, Australia)

(0.002912960444317673 : Eldorado Intl, Colombia)

(0.0028908190173622702 : Pulkovo, Russia)

(0.0028796650477617026 : Minneapolis St Paul Intl, United States)

(0.0028301606188053502 : Mc Carran Intl, United States)

(0.0028261957395592776 : Manchester, United Kingdom)

(0.002774072734350842 : Dusseldorf, Germany)

(0.0027647822033658566 : Ninoy Aquino Intl, Philippines)

(0.002760696472757145 : Son Sant Joan, Spain)

(0.0027265281516772027 : Brussels Natl, Belgium)

(0.002708284875575866 : Newark Liberty Intl, United States)

(0.0026795612229729023 : Guarulhos Gov Andre Franco Montouro, Brazil)

(0.002630446070879846 : Shuangliu, China)

(0.0025520060632523755 : Wujiaba, China)

(0.002547445292435822 : Chhatrapati Shivaji Intl, India)

(0.002526796852314514 : Taoyuan Intl, Taiwan)

(0.0025177694365163665 : Orlando Intl, United States)

(0.0025088659505719327 : Zurich, Switzerland)

(0.002501925591466326 : Kastrup, Denmark)

(0.002494209555611496 : Detroit Metro Wayne Co, United States)

(0.0024860772885515314 : Abu Dhabi Intl, United Arab Emirates)

(0.002451085745531508 : Vancouver Intl, Canada)

(0.0024459682863816595 : Washington Dulles Intl, United States)

(0.002442122855630689 : Philadelphia Intl, United States)

(0.002432759273818665 : Soekarno Hatta Intl, Indonesia)

(0.002425893356850237 : Phoenix Sky Harbor Intl, United States)

(0.0023993650200949505 : Johannesburg Intl, South Africa)

(0.0023552441315726033 : Melbourne Intl, Australia)

(0.0023383980687721032 : General Edward Lawrence Logan Intl, United States)

(0.0023073278686520154 : Sheremetyevo, Russia)

(0.002302062621410266 : Aeroparque Jorge Newbery, Argentina)

(0.0022984142957235597 : Xianyang, China)

(0.002275363095335241 : Pierre Elliott Trudeau Intl, Canada)

(0.002216488054561409 : Fort Lauderdale Hollywood Intl, United States)

(0.002205465001894224 : Gardermoen, Norway)

(0.0022038910189522564 : Ted Stevens Anchorage Intl, United States)

(0.0021945156134752122 : Auckland Intl, New Zealand)

(0.002164789126562828 : Orly, France)

(0.002129193409069589 : Arlanda, Sweden)

(0.0021284401294638686 : Malpensa, Italy)

(0.002100048569826818 : Tokyo Intl, Japan)

(0.002095027228369103 : Jiangbei, China)

(0.00207389715044231 : Jorge Chavez Intl, Peru)

(0.002013792703705632 : Lisboa, Portugal)

(0.0019988598454484057 : Xiaoshan, China)

(0.0019420346849188875 : Bethel, United States)

(0.0019417660980771564 : King Abdulaziz Intl, Saudi Arabia)

(0.0019373513040456484 : Helsinki Vantaa, Finland)

(0.0019182279460658504 : Baoan Intl, China)

(0.0019048049794002425 : Dublin, Ireland)

(0.0018962766290114724 : Tegel, Germany)

(0.0018498277507520591 : Presidente Juscelino Kubitschek, Brazil)

(0.001842816704585606 : Eleftherios Venizelos Intl, Greece)

(0.0018035721335472729 : Jomo Kenyatta International, Kenya)

(0.0017903653987460398 : Honolulu Intl, United States)

(0.0017817054400751685 : Cairo Intl, Egypt)

(0.0017476439636963633 : Gaoqi, China)

(0.001747029144195824 : Hongqiao Intl, China)

(0.0017418808683013459 : Malaga, Spain)

(0.001719145711283809 : Doha Intl, Qatar)

(0.001697166505688823 : King Khaled Intl, Saudi Arabia)

(0.0016641993911031606 : Salt Lake City Intl, United States)

(0.0016462761794412833 : Cancun Intl, Mexico)

(0.0016297217938051342 : Bole Intl, Ethiopia)

(0.00161560274314643 : Diwopu, China)

(0.0016153320831356422 : Portland Intl, United States)

(0.0016091158364616993 : Baltimore Washington Intl, United States)

(0.001599054938828462 : Perth Intl, Australia)

(0.0015984921073032583 : Huanghua, China)

(0.0015983222220594133 : Mehrabad Intl, Iran)

(0.0015939637270681768 : Liuting, China)

(0.0015810033219602567 : La Guardia, United States)

(0.0015765116585459225 : Chicago Midway Intl, United States)

(0.0015660304183392837 : Stansted, United Kingdom)

(0.0015652454542186252 : Tianhe, China)

(0.001554380071466422 : Kansai, Japan)

(0.0015512195978233149 : Geneve Cointrin, Switzerland)

(0.0015314137490747622 : Calgary Intl, Canada)

(0.0015258177102781038 : Lukou, China)

(0.0015234479889358835 : Ruzyne, Czech Republic)

(0.001521709246156574 : Galeao Antonio Carlos Jobim, Brazil)

(0.0015203608475278297 : Port Moresby Jacksons Intl, Papua New Guinea)

(0.0015086093337365206 : Ibiza, Spain)

(0.0014802738428559142 : Tampa Intl, United States)

(0.0014764936815167863 : Ronald Reagan Washington Natl, United States)

(0.0014691832223264164 : Birmingham, United Kingdom)

(0.0014660645137122147 : Alicante, Spain)

(0.001463190386374879 : Arturo Merino Benitez Intl, Chile)

(0.0014621846251835224 : Faa\\'a International, French Polynesia)

(0.001458009864723054 : Lambert St Louis Intl, United States)

(0.0014465319748347 : Sabiha Gokcen, Turkey)

(0.001440028441209884 : Venezia Tessera, Italy)

(0.001411834032192345 : Stuttgart, Germany)

(0.0014010545335188798 : Cote D\\'Azur, France)

(0.0013903112648840092 : Hamburg, Germany)

(0.00135774512857504 : Tocumen Intl, Panama)

(0.0013569048955850156 : Gran Canaria, Spain)

(0.001355845068744928 : Honiara International, Solomon Islands)

(0.0013396435102250492 : Simon Bolivar Intl, Venezuela)

(0.0013367142794642685 : Saint Exupery, France)

(0.0013227663904569489 : San Diego Intl, United States)

(0.0013220948627417632 : Fairbanks Intl, United States)

(0.0013214263781793237 : Okecie, Poland)

(0.0013017895332429069 : Edinburgh, United Kingdom)

(0.0012926718079669221 : Netaji Subhash Chandra Bose Intl, India)

(0.001287257270983027 : Xinzheng, China)

(0.0012807672480813607 : Nikos Kazantzakis, Greece)

(0.0012669647599275512 : Provence, France)

(0.001263244754343611 : Ben Gurion, Israel)

(0.0012603358855717975 : Viracopos, Brazil)

(0.0012546674158692578 : Tansonnhat Intl, Vietnam)

(0.0012395605165962285 : Bali Ngurah Rai, Indonesia)

(0.0012291749976914795 : Antalya, Turkey)

(0.0012260940402285584 : Zhoushuizi, China)

(0.0012146302672563945 : Mohammed V Intl, Morocco)

(0.0012107471364899212 : Glasgow, United Kingdom)

(0.0011975832311079961 : Koln Bonn, Germany)

(0.0011767844618004145 : Juneau Intl, United States)

(0.001173532215752455 : Shenyang Taoxian International Airport, China)

(0.0011712799916895667 : Queen Alia Intl, Jordan)

(0.001166008641510638 : Chennai Intl, India)

(0.0011654063673670514 : Don Muang Intl, Thailand)

(0.0011605402459087695 : Tenerife Sur, Spain)

(0.0011588903642652164 : Cairns Intl, Australia)

(0.0011559172412994264 : Juan Santamaria Intl, Costa Rica)

(0.0011470854156599417 : Deputado Luis Eduardo Magalhaes, Brazil)

(0.0011465540617605346 : Rhodes Diagoras, Greece)

(0.0011397256620142488 : Edmonton Intl, Canada)

(0.0011333399558915893 : Kuwait Intl, Kuwait)

(0.0011328153876056365 : Bangalore, India)

(0.0011171980904236838 : Houari Boumediene, Algeria)

(0.0011161308169703374 : Henri Coanda, Romania)

(0.0011138035450793504 : Sioux Lookout, Canada)

(0.0011028531383845972 : Port Vila Bauerfield, Vanuatu)

(0.0010994767232828657 : Taiping, China)

(0.0010989847756315402 : Jinan, China)

(0.0010977441730542295 : Boryspil Intl, Ukraine)

(0.0010967311843842766 : Ministro Pistarini, Argentina)

(0.001091764223970162 : Mashhad, Iran)

(0.001080787512007446 : Luis Munoz Marin Intl, Puerto Rico)

(0.0010800758651105663 : Vnukovo, Russia)

(0.0010765330962648316 : Nadi Intl, Fiji)

(0.0010729107419272207 : Binhai, China)

(0.0010685284999238643 : Seeb Intl, Oman)

(0.0010642834724659462 : Longdongbao, China)

(0.0010630373632208759 : Tancredo Neves Intl, Brazil)

(0.001058932539507806 : Cleveland Hopkins Intl, United States)

(0.0010521288943862832 : Riga Intl, Latvia)

(0.0010470572749795343 : Bristol, United Kingdom)

(0.00104419166132432 : Hasanuddin, Indonesia)

(0.0010436018804075395 : Bergamo Orio Al Serio, Italy)

(0.0010398293039781926 : Magenta, New Caledonia)

(0.0010380998260389592 : Noibai Intl, Vietnam)

(0.001037407376707398 : Nome, United States)

(0.0010319502612146489 : Eduardo Gomes Intl, Brazil)

(0.0010289711977480543 : Koltsovo, Russia)

