Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.9
 -Convergence condition : difference less than  1e-15
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
(0.0010196498826514867 : Luton, United Kingdom)

(0.0010058435449884452 : Mactan Cebu Intl, Philippines)

(0.0009976671764693138 : Luqa, Malta)

(0.000988887869159056 : Tolmachevo, Russia)

(0.0009775539500712512 : New Chitose, Japan)

(0.0009726264982828095 : Adelaide Intl, Australia)

(0.0009695028668759687 : Wuxu, China)

(0.0009667920513228246 : Lanzarote, Spain)

(0.0009647499535031962 : Nottingham East Midlands, United Kingdom)

(0.0009629939299868941 : Juanda, Indonesia)

(0.0009626268883107055 : Bandaranaike Intl Colombo, Sri Lanka)

(0.0009601711850473713 : Faro, Portugal)

(0.0009557968353735144 : Porto, Portugal)

(0.0009546511415102002 : Don Miguel Hidalgo Y Costilla Intl, Mexico)

(0.0009531112030921815 : Wusu, China)

(0.0009529558537188151 : Kansas City Intl, United States)

(0.0009517430334812165 : Ralph Wien Mem, United States)

(0.0009466193860971309 : Yellowknife, Canada)

(0.000942405769173204 : Fukuoka, Japan)

(0.0009416358088605836 : Darwin Intl, Australia)

(0.000930628770572618 : Changle, China)

(0.0009272939882765306 : Nashville Intl, United States)

(0.0009261485716053709 : Hyderabad, India)

(0.0009204001906376005 : Newcastle, United Kingdom)

(0.0009158420849220647 : Larnaca, Cyprus)

(0.0009104556481459228 : Baita Airport, China)

(0.000909941812811399 : Yuzhny, Uzbekistan)

(0.0009080254738826303 : Chubu Centrair Intl, Japan)

(0.0009080041519379807 : Ioannis Kapodistrias Intl, Greece)

(0.0009061842123204637 : Ferihegy, Hungary)

(0.0009058191187637047 : Jose Marti Intl, Cuba)

(0.0009058063857908866 : Lynden Pindling Intl, Bahamas)

(0.0009018524937499811 : Afonso Pena, Brazil)

(0.0009001474056881114 : Salgado Filho, Brazil)

(0.0008957977486564849 : William P Hobby, United States)

(0.0008943532804493995 : Luanda 4 De Fevereiro, Angola)

(0.0008867185474379615 : Catania Fontanarossa, Italy)

(0.0008841745577131653 : Tribhuvan Intl, Nepal)

(0.0008837525092702407 : Carthage, Tunisia)

(0.0008782585794613547 : EuroAirport Basel-Mulhouse-Freiburg, Switzerland)

(0.0008727181409563768 : Congonhas, Brazil)

(0.0008601118266395849 : Marcos A Gelabert Intl, Panama)

(0.0008597716090512751 : Keflavik International Airport, Iceland)

(0.0008555582529090891 : Jinnah Intl, Pakistan)

(0.000849450087052302 : Wellington Intl, New Zealand)

(0.0008480078710188549 : Flesland, Norway)

(0.000845814474048865 : Almaty, Kazakhstan)

(0.0008389623813317498 : Makedonia, Greece)

(0.000831832647626246 : Metropolitan Oakland Intl, United States)

(0.0008317390644964089 : Bahrain Intl, Bahrain)

(0.0008315592633172932 : Austin Bergstrom Intl, United States)

(0.0008236140276661696 : King Fahd Intl, Saudi Arabia)

(0.0008102126827982627 : Christchurch Intl, New Zealand)

(0.0008083497857211095 : Gimhae Intl, South Korea)

(0.0008059745166710548 : Murtala Muhammed, Nigeria)

(0.0007975391356054371 : Zia Intl, Bangladesh)

(0.0007972059382547263 : Meilan, China)

(0.0007964807240326821 : Pisa, Italy)

(0.000795485527209077 : Menorca, Spain)

(0.0007948736705337414 : Orlando Sanford Intl, United States)

(0.0007909521264983566 : Winnipeg Intl, Canada)

(0.0007895356104720802 : Mariscal Sucre Intl, Ecuador)

(0.0007892270144129945 : Blagnac, France)

(0.0007882973647067197 : Phoenix International, China)

(0.0007863857992268952 : Raleigh Durham Intl, United States)

(0.0007856668707208869 : Changbei Intl, China)

(0.0007788617889037103 : Sochi, Russia)

(0.0007786287462639427 : Liangjiang, China)

(0.0007745937347699589 : Brussels South, Belgium)

(0.0007672798241616921 : Marechal Rondon, Brazil)

(0.0007612243204002386 : Valencia, Spain)

(0.0007585285643798125 : Hannover, Germany)

(0.0007568463417529682 : San Antonio Intl, United States)

(0.0007530394874394195 : Rafic Hariri Intl, Lebanon)

(0.0007508910611890082 : Bologna, Italy)

(0.0007498465110764379 : General Mariano Escobedo Intl, Mexico)

(0.0007464593966006664 : Fuerteventura, Spain)

(0.0007461454994639351 : Iqaluit, Canada)

(0.0007450815814683102 : Ottawa Macdonald Cartier Intl, Canada)

(0.0007424388767702352 : Yangon Intl, Burma)

(0.0007406147762485643 : Schonefeld, Germany)

(0.0007386199054160769 : Kotoka Intl, Ghana)

(0.0007361167660884491 : Memphis Intl, United States)

(0.0007344622551269737 : Capodichino, Italy)

(0.0007309260109050127 : Rankin Inlet, Canada)

(0.0007308471865786384 : Val De Cans Intl, Brazil)

(0.0007304655940138669 : Louis Armstrong New Orleans Intl, United States)

(0.000730416235295457 : Girona, Spain)

(0.0007299209290844347 : Split, Croatia)

(0.0007290829122701799 : El Salvador Intl, El Salvador)

(0.0007290174329381197 : Kos, Greece)

(0.000724265197198063 : Ketchikan Intl, United States)

(0.00072259966038292 : Olbia Costa Smeralda, Italy)

(0.0007196128403948231 : Leeds Bradford, United Kingdom)

(0.0007164902270636524 : Phuket Intl, Thailand)

(0.0007144963778037643 : Macau Intl, Macau)

(0.000713637153484506 : Nantes Atlantique, France)

(0.0007133394918970488 : Beograd, Serbia)

(0.0007133060843737259 : Dubrovnik, Croatia)

(0.0007130775794528296 : Khartoum, Sudan)

(0.0007126146652899655 : Norman Y Mineta San Jose Intl, United States)

(0.0007093966252542131 : Kahului, United States)

(0.0007082235867623168 : Lanzhou Airport, China)

(0.0007050280753239665 : Cincinnati Northern Kentucky Intl, United States)

(0.0006991015813879475 : Kota Kinabalu Intl, Malaysia)

(0.0006969970990365025 : Polonia, Indonesia)

(0.000693751585613365 : Cape Town Intl, South Africa)

(0.0006919790960376527 : Shiraz Shahid Dastghaib Intl, Iran)

(0.0006902731184052144 : Esenboga, Turkey)

(0.0006895299783283477 : Guararapes Gilberto Freyre Intl, Brazil)

(0.0006894758569896615 : General Mitchell Intl, United States)

(0.0006864806052438166 : Pittsburgh Intl, United States)

(0.0006847525374269404 : City, United Kingdom)

(0.0006783645048649618 : Bilbao, Spain)

(0.0006763364955405429 : Leopold Sedar Senghor Intl, Senegal)

(0.0006758438725469439 : Heydar Aliyev, Azerbaijan)

(0.0006738239278556696 : Naha, Japan)

(0.0006721478076738782 : Wenzhou Yongqiang Airport, China)

(0.0006714170087052752 : Punta Cana Intl, Dominican Republic)

(0.0006675172295961871 : Astana Intl, Kazakhstan)

(0.0006655883273242576 : Sepinggan, Indonesia)

(0.0006633956855475006 : Jeju Intl, South Korea)

(0.0006612814492292802 : Luxembourg, Luxembourg)

(0.000659341313903047 : Sacramento Intl, United States)

(0.0006572196411300774 : Luogang, China)

(0.0006563048617649772 : Aniak Airport, United States)

(0.0006464050116836783 : Adnan Menderes, Turkey)

(0.0006430741904563638 : Jose Joaquin De Olmedo Intl, Ecuador)

(0.0006416510728408545 : Indianapolis Intl, United States)

(0.0006415736973038143 : Santos Dumont, Brazil)

(0.0006402475021020741 : Tripoli Intl, Libya)

(0.0006347188399861205 : Chaklala, Pakistan)

(0.0006270507534852189 : El Alto Intl, Bolivia)

(0.0006254371673830491 : Port Columbus Intl, United States)

(0.0006229708733246104 : Quebec Jean Lesage Intl, Canada)

(0.0006228565146402769 : Changchun, China)

(0.0006203499622817866 : Menara, Morocco)

(0.000619571487429687 : Sept Iles, Canada)

(0.0006177746848336268 : Princess Juliana Intl, Netherlands Antilles)

(0.0006152597573502078 : Nnamdi Azikiwe Intl, Nigeria)

(0.0006150783210650128 : Halifax Intl, Canada)

(0.0006116165032580064 : Merignac, France)

(0.0006107271136421964 : Palermo, Italy)

(0.0006090132060977535 : Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire)

(0.0006088944407075489 : Southwest Florida Intl, United States)

(0.0006077580692851815 : Ivato, Madagascar)

(0.0006043953329924265 : Sofia, Bulgaria)

(0.0006030349393463587 : Elmas, Italy)

(0.0006016703612624439 : Cochin, India)

(0.0005956235984677336 : Yinchuan, China)

(0.0005955690756656229 : Penang Intl, Malaysia)

(0.0005940991992746532 : Osaka Intl, Japan)

(0.0005936810031391877 : Liverpool, United Kingdom)

(0.0005924840687122182 : Novy, Russia)

(0.0005913604981339144 : Linate, Italy)

(0.000589638264042728 : Subang-Sultan Abdul Aziz Shah Intl, Malaysia)

(0.0005884127704901293 : Tanna island, Vanuatu)

(0.000586220001669353 : Dalaman, Turkey)

(0.0005839481424467719 : Wabush, Canada)

(0.0005816060698063593 : Pinto Martins Intl, Brazil)

(0.0005802212853626562 : Eindhoven, Netherlands)

(0.0005775957393473335 : Shijiazhuang Daguocun International Airport, China)

(0.0005762350883284541 : Albuquerque International Sunport, United States)

(0.0005738304985144707 : Minsk 2, Belarus)

(0.0005737833087983669 : Lishe, China)

(0.0005703668670499521 : Nairobi Wilson, Kenya)

(0.0005697839056052127 : Vaernes, Norway)

(0.0005678840974615541 : Lusaka Intl, Zambia)

(0.0005677389228479119 : Emelyanovo, Russia)

(0.0005668785060950048 : Mandalay Intl, Burma)

(0.0005664707735635055 : Douala, Cameroon)

(0.0005631289545193846 : Vilnius Intl, Lithuania)

(0.0005607344544452768 : Allama Iqbal Intl, Pakistan)

(0.0005584422365046743 : Reina Beatrix Intl, Aruba)

(0.0005556838160304732 : Miri, Malaysia)

(0.00055424490641949 : Reykjavik, Iceland)

(0.0005540505145556819 : Burgas, Bulgaria)

(0.000551584314135188 : Unalaska, United States)

(0.0005506405656439088 : Madeira, Portugal)

(0.0005416566589399532 : Hato, Netherlands Antilles)

(0.0005408548135385308 : John Wayne Arpt Orange Co, United States)

(0.000539971583518574 : Sir Seewoosagur Ramgoolam Intl, Mauritius)

(0.0005379937824850773 : Tille, France)

(0.0005367030464711434 : Kaohsiung Intl, Taiwan)

(0.0005358925049621414 : Balice, Poland)

(0.0005350116938115799 : Sanaa Intl, Yemen)

(0.0005342348026647833 : Thunder Bay, Canada)

(0.0005294276563277897 : Knevichi, Russia)

(0.0005289353156010444 : Laishan, China)

(0.0005281341894297224 : Los Cabos Intl, Mexico)

(0.0005277933514203156 : Frankfurt Hahn, Germany)

(0.0005271489294500178 : Imam Khomeini, Iran)

(0.0005196829486232253 : Niederrhein, Germany)

(0.0005195899298510447 : Chinggis Khaan Intl, Mongolia)

(0.0005187391150220189 : Sola, Norway)

(0.0005166818241197582 : Tallinn, Estonia)

(0.0005156724862932821 : Viru Viru Intl, Bolivia)

(0.0005151468826550961 : Goose Bay, Canada)

(0.0005105711553492697 : Phoenix-Mesa Gateway, United States)

(0.0005103855298336169 : Lijiang Airport, China)

(0.000509743924367398 : Bari, Italy)

(0.0005080534513273563 : Pafos Intl, Cyprus)

(0.000507809752127339 : Townsville, Australia)

(0.0005051344125266389 : Sevilla, Spain)

(0.0005049422869364467 : King Salmon, United States)

(0.0005047240063091706 : Gold Coast, Australia)

(0.0005036940490839834 : Langnes, Norway)

(0.0005014359407766799 : General Abelardo L Rodriguez Intl, Mexico)

(0.000496825651002355 : Nuuk, Greenland)

(0.0004961441297782565 : Dallas Love Fld, United States)

(0.0004946604686293179 : Ciampino, Italy)

(0.0004927628567117239 : Borg El Arab Intl, Egypt)

(0.0004920381043551925 : Santo Pekoa International Airport, Vanuatu)

(0.0004917625024529957 : Alfonso Bonilla Aragon Intl, Colombia)

(0.0004908102855781566 : Xining Caojiabu Airport, China)

(0.0004883161948323906 : Inuvik Mike Zubko, Canada)

(0.0004879630727771671 : Belfast Intl, United Kingdom)

(0.0004864683666298109 : Rarotonga Intl, Cook Islands)

(0.0004863421008837372 : Las Americas Intl, Dominican Republic)

(0.0004822061058485871 : Ahmedabad, India)

(0.00048050379457849346 : Guam Intl, Guam)

(0.00047985182239749776 : Landvetter, Sweden)

(0.00047568648738429683 : Nurnberg, Germany)

(0.00047497648281108706 : Gimpo, South Korea)

(0.00047279271491512627 : Kigali Intl, Rwanda)

(0.0004707899195995605 : Nausori Intl, Fiji)

(0.00046969173465032966 : Lokpriya Gopinath Bordoloi International Airport, India)

(0.0004683064049408447 : Sangster Intl, Jamaica)

(0.0004677439645810432 : Campo Dell Oro, France)

(0.00046725487734128465 : Male Intl, Maldives)

(0.00046556752662567906 : Wuxi Airport, China)

(0.00046522954358679775 : Mwalimu Julius K Nyerere Intl, Tanzania)

(0.0004652154223014882 : Souda, Greece)

(0.000465101472125661 : Beijing Nanyuan Airport, China)

(0.0004644834911757591 : Vityazevo, Russia)

(0.0004628007158384013 : Myrtle Beach Intl, United States)

(0.0004623832407092299 : Jacksonville Intl, United States)

(0.00046078327460336894 : Cadjehoun, Benin)

(0.0004583373159029258 : Lech Walesa, Poland)

(0.00045758631638902116 : Zhuliany Intl, Ukraine)

(0.00045660898239850966 : Esfahan Shahid Beheshti Intl, Iran)

(0.00045491212901846537 : Neuenland, Germany)

(0.00045349071766523797 : Chiang Mai Intl, Thailand)

(0.0004534795817287896 : Kuujjuaq, Canada)

(0.00045289534999101255 : Zvartnots, Armenia)

(0.0004525492060852757 : Sharm El Sheikh Intl, Egypt)

(0.000449898773094467 : Entebbe Intl, Uganda)

(0.0004486669358240281 : Manas, Kyrgyzstan)

(0.0004470766488294362 : Jersey, Jersey)

(0.0004460507640775841 : Louisville International Airport, United States)

(0.0004456035733644107 : Santa Genoveva, Brazil)

(0.0004445623316460421 : Prince Mohammad Bin Abdulaziz, Saudi Arabia)

(0.0004438687144125713 : Will Rogers World, United States)

(0.0004436087014891305 : Eros Airport, Namibia)

(0.00044270509771963555 : Kuching Intl, Malaysia)

(0.0004417356170816352 : Cardiff, United Kingdom)

(0.0004413089281575676 : Red Lake Airport, Canada)

(0.0004410747088950428 : Tobias Bolanos International Airport, Costa Rica)

(0.0004400518768216931 : Ilulissat, Greenland)

(0.0004385127392427445 : Ahwaz, Iran)

(0.0004366728300450608 : Hang Nadim, Indonesia)

(0.00043316307512176593 : Southampton, United Kingdom)

(0.00043257203137692915 : Ouagadougou, Burkina Faso)

(0.0004325684052521839 : Firenze, Italy)

(0.0004323315587096919 : Skavsta, Sweden)

(0.0004310120431362047 : Bodrum - Milas, Turkey)

(0.0004305387818196946 : Bradley Intl, United States)

(0.000429757449594469 : Hercilio Luz, Brazil)

(0.0004290781397179127 : Dyce, United Kingdom)

(0.00042794937610080437 : V C Bird Intl, Antigua and Barbuda)

(0.00042620610758013706 : Ugnu-Kuparuk Airport, United States)

(0.0004252421651886176 : Bodo, Norway)

(0.00042485942823017016 : Thiruvananthapuram Intl, India)

(0.0004246247228725572 : Zagreb, Croatia)

(0.0004244326149043112 : Harare Intl, Zimbabwe)

(0.0004218292904432874 : Licenciado Gustavo Diaz Ordaz Intl, Mexico)

(0.00042124145902149734 : Yakutsk, Russia)

(0.00042114410754161865 : Jose Maria Cordova, Colombia)

(0.0004207130599648278 : La Aurora, Guatemala)

(0.00041627053972054587 : Torp, Norway)

(0.00041442750864286316 : Pristina, Serbia)

(0.0004133988379275507 : Kurumoch, Russia)

(0.00040855702601858983 : Dongshan, China)

(0.00040766172729767795 : Bandar Abbass Intl, Iran)

(0.00040726814144748027 : Moss, Norway)

(0.00040686533659881025 : Kazan, Russia)

(0.0004037756956041768 : Pashkovskiy, Russia)

(0.0004030290107029582 : Billings Logan International Airport, United States)

(0.00040206867356486713 : Mount Isa, Australia)

(0.0004007361375878017 : Irkutsk, Russia)

(0.0003984701343056813 : Billund, Denmark)

(0.00039845364883913265 : Santorini, Greece)

(0.0003964316836437301 : Siem Reap, Cambodia)

(0.0003941405334788621 : Sentani, Indonesia)

(0.0003907356860473726 : Goiabeiras, Brazil)

(0.0003884266203561114 : Sungshan, Taiwan)

(0.0003881053511445513 : Pakuba Airport, Uganda)

(0.00038791366879330924 : Danang Intl, Vietnam)

(0.00038673414461534554 : Zhuhai Airport, China)

(0.0003861007018803365 : Pune, India)

(0.0003837240840578286 : Governador Jorge Teixeira De Oliveira, Brazil)

(0.0003833577215613352 : Cork, Ireland)

(0.00038281960659090767 : Sondre Stromfjord, Greenland)

(0.0003827854196596237 : Villafranca, Italy)

(0.00038278124180291315 : Palm Beach Intl, United States)

(0.00038063487931693185 : Piarco, Trinidad and Tobago)

(0.0003783500095779963 : St Petersburg Clearwater Intl, United States)

(0.0003781921281697102 : Lifou, New Caledonia)

(0.0003766266199764318 : Maputo, Mozambique)

(0.00037428494205787643 : Buffalo Niagara Intl, United States)

(0.00037398713613505315 : Adi Sutjipto, Indonesia)

(0.0003715448622816019 : St Johns Intl, Canada)

(0.0003712694454734251 : Kirkwall, United Kingdom)

(0.0003701201882937047 : Trapani Birgi, Italy)

(0.0003695042926998299 : Tokua Airport, Papua New Guinea)

(0.00036922658089443954 : Edward G Pitka Sr, United States)

(0.0003679566701335828 : Sam Ratulangi, Indonesia)

(0.0003664595099157244 : Calicut, India)

(0.0003661765867348749 : Providenciales, Turks and Caicos Islands)

(0.0003660597878932471 : Peshawar Intl, Pakistan)
