Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.8
 -Convergence condition : difference less than  1e-15
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
-------------------------------------------------------------------
(0.005154650234536785 : Denver Intl, United States)

(0.0050431753810686545 : Chicago Ohare Intl, United States)

(0.004989344685448701 : Los Angeles Intl, United States)

(0.003928354581758401 : Hartsfield Jackson Atlanta Intl, United States)

(0.003774058753257134 : Sydney Intl, Australia)

(0.0037587619206718302 : Heathrow, United Kingdom)

(0.0037477570565885303 : Changi Intl, Singapore)

(0.0037217076669581787 : Capital Intl, China)

(0.0036599284780213194 : Charles De Gaulle, France)

(0.003605032634916338 : Dallas Fort Worth Intl, United States)

(0.003564729353202173 : Frankfurt Main, Germany)

(0.003543741280136829 : Domododevo, Russia)

(0.0033324331022391135 : John F Kennedy Intl, United States)

(0.0033066754517970267 : Schiphol, Netherlands)

(0.003146637020562899 : Lester B Pearson Intl, Canada)

(0.0031124112096298042 : Dubai Intl, United Arab Emirates)

(0.003075712692832619 : Incheon Intl, South Korea)

(0.002993348956200203 : Ataturk, Turkey)

(0.002981268363878626 : Eldorado Intl, Colombia)

(0.002890527031515154 : Pudong, China)

(0.0028333165826561935 : Barcelona, Spain)

(0.002781808718262135 : Licenciado Benito Juarez Intl, Mexico)

(0.0027264324847918802 : Hong Kong Intl, Hong Kong)

(0.0027095489346826247 : Brisbane Intl, Australia)

(0.0026749718950623753 : Suvarnabhumi Intl, Thailand)

(0.002633740017182329 : Miami Intl, United States)

(0.0025948739027330968 : Ninoy Aquino Intl, Philippines)

(0.002578215313078313 : Minneapolis St Paul Intl, United States)

(0.0025664948979427405 : George Bush Intercontinental, United States)

(0.0025603461994922827 : Indira Gandhi Intl, India)

(0.0025316573349653424 : Charlotte Douglas Intl, United States)

(0.0025223129437888436 : Aeroparque Jorge Newbery, Argentina)

(0.0025175233732726266 : Fiumicino, Italy)

(0.0025116938400946615 : San Francisco Intl, United States)

(0.0025087587386432436 : Kuala Lumpur Intl, Malaysia)

(0.0024812720267355227 : Seattle Tacoma Intl, United States)

(0.002462886897210957 : Gatwick, United Kingdom)

(0.0024532651905911575 : Pulkovo, Russia)

(0.0024184912572185707 : Barajas, Spain)

(0.002408400345648071 : Franz Josef Strauss, Germany)

(0.00236446260266925 : Johannesburg Intl, South Africa)

(0.0023506544849390496 : Narita Intl, Japan)

(0.0023116442884209224 : Schwechat, Austria)

(0.0022425809389224668 : Mc Carran Intl, United States)

(0.0022369390255806304 : Guarulhos Gov Andre Franco Montouro, Brazil)

