Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.8
 -Convergence condition : difference less than  1e-12
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
-------------------------------------------------------------------
(0.005154650234567374 : Denver Intl, United States)

(0.0050431753810985394 : Chicago Ohare Intl, United States)

(0.004989344685477038 : Los Angeles Intl, United States)

(0.003928354581778984 : Hartsfield Jackson Atlanta Intl, United States)

(0.003774058753264932 : Sydney Intl, Australia)

(0.003758761920687647 : Heathrow, United Kingdom)

(0.0037477570565944895 : Changi Intl, Singapore)

(0.0037217076669640845 : Capital Intl, China)

(0.003659928478034326 : Charles De Gaulle, France)

(0.0036050326349348926 : Dallas Fort Worth Intl, United States)

(0.0035647293532150887 : Frankfurt Main, Germany)

(0.0035437412801414686 : Domododevo, Russia)

(0.00333243310225579 : John F Kennedy Intl, United States)

(0.003306675451807678 : Schiphol, Netherlands)

(0.0031466370205810736 : Lester B Pearson Intl, Canada)

(0.003112411209635291 : Dubai Intl, United Arab Emirates)

(0.0030757126928395184 : Incheon Intl, South Korea)

(0.0029933489562058947 : Ataturk, Turkey)

(0.0029812683638860992 : Eldorado Intl, Colombia)

(0.0028905270315205006 : Pudong, China)

(0.002833316582664599 : Barcelona, Spain)

(0.0027818087182739583 : Licenciado Benito Juarez Intl, Mexico)

(0.002726432484796974 : Hong Kong Intl, Hong Kong)

(0.0027095489346887548 : Brisbane Intl, Australia)

(0.002674971895066478 : Suvarnabhumi Intl, Thailand)

(0.0026337400171951458 : Miami Intl, United States)

(0.0025948739027360826 : Ninoy Aquino Intl, Philippines)

(0.002578215313092436 : Minneapolis St Paul Intl, United States)

(0.0025664948979565796 : George Bush Intercontinental, United States)

(0.002560346199495248 : Indira Gandhi Intl, India)

(0.0025316573349787254 : Charlotte Douglas Intl, United States)

(0.0025223129437934003 : Aeroparque Jorge Newbery, Argentina)

(0.002517523373280505 : Fiumicino, Italy)

(0.0025116938401096773 : San Francisco Intl, United States)

(0.0025087587386465253 : Kuala Lumpur Intl, Malaysia)

(0.0024812720267529758 : Seattle Tacoma Intl, United States)

(0.0024628868972190678 : Gatwick, United Kingdom)

(0.002453265190595042 : Pulkovo, Russia)

(0.0024184912572272474 : Barajas, Spain)

(0.0024084003456555708 : Franz Josef Strauss, Germany)

(0.002364462602671726 : Johannesburg Intl, South Africa)

(0.002350654484946293 : Narita Intl, Japan)

(0.0023116442884272923 : Schwechat, Austria)

(0.0022425809389368403 : Mc Carran Intl, United States)

(0.002236939025590258 : Guarulhos Gov Andre Franco Montouro, Brazil)

(0.0022317616548197514 : Baiyun Intl, China)

(0.002230463607183876 : Vancouver Intl, Canada)

(0.002195004622531483 : Chhatrapati Shivaji Intl, India)

(0.002133805118596849 : Soekarno Hatta Intl, Indonesia)

(0.0021215282460068964 : Tokyo Intl, Japan)

(0.002103033247646656 : Ted Stevens Anchorage Intl, United States)

(0.002088712693500531 : Auckland Intl, New Zealand)

(0.0020792452818332104 : Son Sant Joan, Spain)

(0.002078953769218148 : Melbourne Intl, Australia)

(0.0020710888132244795 : Detroit Metro Wayne Co, United States)

(0.0020645823767784163 : Manchester, United Kingdom)

(0.0020612536534050908 : Newark Liberty Intl, United States)

(0.002059747001799051 : Brussels Natl, Belgium)

(0.0020236038552105726 : Wujiaba, China)

(0.002011358180790121 : Shuangliu, China)

(0.0020109615515000287 : Washington Dulles Intl, United States)

(0.0020017799711183736 : Dusseldorf, Germany)

(0.001957790190471023 : Jorge Chavez Intl, Peru)

(0.0019515921792123895 : Philadelphia Intl, United States)

(0.0019500089461999307 : Orlando Intl, United States)

(0.0019313385166542369 : Phoenix Sky Harbor Intl, United States)

(0.0019258399315406792 : Abu Dhabi Intl, United Arab Emirates)

(0.0019211708497790954 : Kastrup, Denmark)

(0.001914325437802525 : General Edward Lawrence Logan Intl, United States)

(0.001906055633214983 : Pierre Elliott Trudeau Intl, Canada)

(0.0018958485060326174 : Taoyuan Intl, Taiwan)

(0.0018910645284668133 : Gardermoen, Norway)

(0.001882185327343448 : Sheremetyevo, Russia)

(0.0018652746535263328 : Bethel, United States)

(0.001840541642965449 : Orly, France)

(0.0018405337436435776 : Zurich, Switzerland)

(0.0018368734534788894 : Arlanda, Sweden)

(0.0018162500426545094 : Fort Lauderdale Hollywood Intl, United States)

(0.001752102231871985 : Helsinki Vantaa, Finland)

(0.00171994472900092 : Xianyang, China)

(0.0017148492840158179 : King Abdulaziz Intl, Saudi Arabia)

(0.001660598060739728 : Presidente Juscelino Kubitschek, Brazil)

(0.0016580033916387515 : Mehrabad Intl, Iran)

(0.0016355466137296401 : Jomo Kenyatta International, Kenya)

(0.0015686994632422107 : Lisboa, Portugal)

(0.0015681560073238145 : Eleftherios Venizelos Intl, Greece)

(0.0015616393243795643 : Faa\\'a International, French Polynesia)

(0.0015518484867659062 : Malpensa, Italy)

(0.0015387773420993186 : Bole Intl, Ethiopia)

(0.001525476163157534 : Jiangbei, China)

(0.0015155525533632613 : King Khaled Intl, Saudi Arabia)

(0.0015095169659493247 : Port Moresby Jacksons Intl, Papua New Guinea)

(0.0015067801785514855 : Honolulu Intl, United States)

(0.0014965611854050641 : Perth Intl, Australia)

(0.0014907075763749035 : Salt Lake City Intl, United States)

(0.0014883072837870938 : Cairo Intl, Egypt)

(0.0014336750085589076 : Honiara International, Solomon Islands)

(0.0014174201890705587 : Xiaoshan, China)

(0.0014117526305208342 : Dublin, Ireland)

(0.0014027669332844308 : Diwopu, China)

(0.001398118810959869 : Baoan Intl, China)

(0.001388788201017648 : Fairbanks Intl, United States)

(0.0013668465448861658 : Tegel, Germany)

(0.0013438224629178735 : Calgary Intl, Canada)

(0.0013433288512461803 : Doha Intl, Qatar)

(0.0013430606509221702 : Arturo Merino Benitez Intl, Chile)

(0.0013278453387855947 : Cancun Intl, Mexico)

(0.001308591893247494 : Hongqiao Intl, China)

(0.0013071996922686263 : Don Muang Intl, Thailand)

(0.0013060852865931314 : Portland Intl, United States)

(0.0013006576245846036 : Simon Bolivar Intl, Venezuela)

(0.0012950880666381232 : Viracopos, Brazil)

(0.0012711780169785865 : Lambert St Louis Intl, United States)

(0.0012701517886298012 : Sabiha Gokcen, Turkey)

(0.0012652404068929889 : Malaga, Spain)

(0.0012555898922421303 : Galeao Antonio Carlos Jobim, Brazil)

(0.0012555032516443972 : Gaoqi, China)

(0.0012455771876076483 : Chicago Midway Intl, United States)

(0.0012342984053662976 : La Guardia, United States)

(0.0012184517674841608 : Baltimore Washington Intl, United States)

(0.001218107869345101 : Stansted, United Kingdom)

(0.0012157799618348014 : Kansai, Japan)

(0.0012094863461345176 : Juneau Intl, United States)

(0.0011781167154991388 : Ronald Reagan Washington Natl, United States)

(0.0011696778419295697 : Netaji Subhash Chandra Bose Intl, India)

(0.001154181709726236 : Liuting, China)

(0.0011465868882932209 : Tocumen Intl, Panama)

(0.001140830288398857 : Cairns Intl, Australia)

(0.0011375197598872237 : Tansonnhat Intl, Vietnam)

(0.0011375173521848427 : Tianhe, China)

(0.0011348535537842519 : Houari Boumediene, Algeria)

(0.0011339819832102429 : Huanghua, China)

(0.0011332060488469335 : Tampa Intl, United States)

(0.001132299565993074 : Alicante, Spain)

(0.0011187199544616436 : Geneve Cointrin, Switzerland)

(0.0011164812121811217 : Port Vila Bauerfield, Vanuatu)

(0.0011054359984545934 : Ruzyne, Czech Republic)

(0.0010984206475825804 : Birmingham, United Kingdom)

(0.0010974265816869305 : Bali Ngurah Rai, Indonesia)

(0.001097095150568379 : Cote D\\'Azur, France)

(0.0010895781854621883 : Lukou, China)

(0.0010818801701072914 : Ibiza, Spain)

(0.0010760832008134672 : Juan Santamaria Intl, Costa Rica)

(0.001070711301130035 : Eduardo Gomes Intl, Brazil)

(0.0010662642926976423 : Mashhad, Iran)

